api_internal_id,award_id,recipient,awarding_agency,amount_usd,description,award_base_date,last_modified_date
CONT_AWD_W58RGZ23C0039_9700_-NONE-_-NONE-,W58RGZ23C0039,"AEROVIRONMENT, INC",Department of Defense,18415152.93,"(11) SYSTEM, TOP, C-CODE, M3/M4/M6 NON-NATO, PAL, RSTA, I45, PUMA AE 3 (11) ASSY, TACTICAL LAUNCHER, BASIC, PUMA AE II (11) ASSY, UNIT ISP, DDL, I45, PUMA AE 3",2023-07-21,2026-01-26 15:34:08
CONT_AWD_W58RGZ24C0021_9700_-NONE-_-NONE-,W58RGZ24C0021,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",Department of Defense,367444098.15,PRODUCTION READY TEST ASSET UNDEFINITIZED CONTRACT ACTION,2023-12-01,2026-04-15 14:48:52
CONT_AWD_W58RGZ24C0031_9700_-NONE-_-NONE-,W58RGZ24C0031,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",Department of Defense,780291808.0,GRAY EAGLE PERFORMANCE BASED LOGISTICS 2024-2029,2024-04-18,2026-06-17 13:52:19
CONT_AWD_W58RGZ24C0039_9700_-NONE-_-NONE-,W58RGZ24C0039,"AEROVIRONMENT, INC",Department of Defense,603137.16,THIS IS A REQUIREMENT TO DELIVER PUMAS TO MICRONESIA.,2024-08-30,2026-04-30 15:30:59
CONT_AWD_W58RGZ25C0019_9700_-NONE-_-NONE-,W58RGZ25C0019,"AEROVIRONMENT, INC",Department of Defense,62630394.02,"PUMA AE 3, PUMA LE, PUMA ACCESSORIES, ERA, PUMA SOFTWARE UPDATE KIT, CONTRACTOR LOGISTICS SUPPORTS SERVICES (CLS), OCONUS/CONUS, CONTRACTOR TRANSPORTATION SERVICES, TRAINING SERVICES, TRILLIUM HD59 PAYLOAD HARDWARE IN SUPPORT OF UKRAINE.",2025-04-30,2026-05-12 15:50:01
CONT_AWD_W58RGZ25C0026_9700_-NONE-_-NONE-,W58RGZ25C0026,"AEROVIRONMENT, INC",Department of Defense,5350738.39,UAV IN SUPPORT OF TUNSISA,2025-09-11,2026-01-26 12:40:57
CONT_AWD_W58RGZ26F0022_9700_W58RGZ26D0001_9700,W58RGZ26F0022,"AEROVIRONMENT, INC",Department of Defense,6347643.63,DELIVERY ORDER FOR PUMA LE SYSTEMS IN SUPPORT OF TUNISIA,2025-10-27,2025-11-05 11:07:10
CONT_AWD_W58RGZ26F0028_9700_W58RGZ26D0001_9700,W58RGZ26F0028,"AEROVIRONMENT, INC",Department of Defense,4973557.56,"PUMAS, RAVENS AND SPARES IN SUPPORT OF MACEDONIA",2025-12-05,2026-05-04 17:58:59
CONT_AWD_W58RGZ26F0029_9700_W58RGZ26D0001_9700,W58RGZ26F0029,"AEROVIRONMENT, INC",Department of Defense,2577099.0,IRAQ DELIVERY ORDER,2025-11-18,2025-11-20 13:09:41
CONT_AWD_W58RGZ26F0054_9700_W58RGZ26D0001_9700,W58RGZ26F0054,"AEROVIRONMENT, INC",Department of Defense,1689386.73,PUMA VISUAL NAVIGATION SYSTEM,2025-12-01,2026-05-19 16:06:02
CONT_AWD_W58RGZ26F0064_9700_W58RGZ26D0001_9700,W58RGZ26F0064,"AEROVIRONMENT, INC",Department of Defense,4284883.33,FMS REQUIREMENT FOR COLOMBIA.,2026-01-13,2026-03-31 11:36:50
CONT_AWD_W58RGZ26F0102_9700_W58RGZ26G0020_9700,W58RGZ26F0102,THE SURVICE ENGINEERING COMPANY LLC,Department of Defense,985580.31,JTAARS BOA ORDER,2025-12-22,2026-01-31 19:01:47
CONT_AWD_W58RGZ26F0139_9700_W58RGZ26D0001_9700,W58RGZ26F0139,"AEROVIRONMENT, INC",Department of Defense,10582330.82,FMS REQUIREMENT IN SUPPORT OF TUNISIA.,2026-03-04,2026-04-28 11:12:19
CONT_AWD_W58RGZ26F0141_9700_W58RGZ26G0047_9700,W58RGZ26F0141,"ULTISAT, INC",Department of Defense,19780.0,"IN SUPPORT OF EXECUTIVE ORDER 14307 - UNLEASHING AMERICAN DRONE DOMINANCE, THE ARMY CONTRACTING COMMAND - REDSTONE ARSENAL ESTABLISHES THIS BASIC ORDERING AGREEMENT TO PROCURE DRONES AND DRONE COMPONENTS.",2026-01-23,2026-06-08 18:41:45
CONT_AWD_W58RGZ26F0167_9700_W58RGZ26D0001_9700,W58RGZ26F0167,"AEROVIRONMENT, INC",Department of Defense,3607810.27,FMS REQUIREMENT FOR ESTONIA.,2026-02-13,2026-02-13 15:16:04
CONT_AWD_W58RGZ26F0205_9700_W58RGZ26G0061_9700,W58RGZ26F0205,"GRIFFON AEROSPACE, INC.",Department of Defense,18979032.0,GRIFFON ARROWHEAD ORDER,2026-03-05,2026-04-27 15:46:53
CONT_AWD_W58RGZ26F0206_9700_W58RGZ26G0062_9700,W58RGZ26F0206,"AEROVIRONMENT, INC",Department of Defense,17583318.0,"IN ACCORDANCE WITH THE DIRECTIVES ESTABLISHED IN THE DEPARTMENT OF WAR MEMORANDUM DATED 10 JULY 2025, IN SUPPORT OF EXECUTIVE ORDER 14307-UNLEASHING U.S. MILITARY DRONE DOMINANCE.",2026-03-12,2026-06-10 17:11:09
CONT_AWD_W58RGZ26F0211_9700_W58RGZ26G0061_9700,W58RGZ26F0211,"GRIFFON AEROSPACE, INC.",Department of Defense,77729004.5,"IN SUPPORT OF EXECUTIVE ORDER- UNLEASHING AMERICA DRONE DOMINANCE, THE ARMY CONTRACTING COMMAND-REDSTONE ARSENAL ESTABLISHES THIS BASIC ORDERING AGREEMENT TO PROCURE DRONES AND DRONE DOMINANT COMPONENTS.",2026-03-16,2026-06-12 11:20:22
CONT_AWD_W58RGZ26F0222_9700_W58RGZ26D0001_9700,W58RGZ26F0222,"AEROVIRONMENT, INC",Department of Defense,1003342.65,DRONES IN SUPPORT OF EGYPT,2026-04-02,2026-04-27 17:41:57
CONT_AWD_W58RGZ26F0223_9700_W58RGZ26G0020_9700,W58RGZ26F0223,THE SURVICE ENGINEERING COMPANY LLC,Department of Defense,13155389.06,ACQUISITION OF JOINT TACTICAL AUTONOMOUS AREIAL RESUPPLY VEHICLE,2026-03-19,2026-06-04 09:40:41
CONT_AWD_W58RGZ26F0226_9700_W58RGZ26G0026_9700,W58RGZ26F0226,MISTRAL INC,Department of Defense,20039666.18,"IN SUPPORT OF EXECUTIVE ORDER- UNLEASHING DRONE DOMINANCE, THE ARMY CONTRACTING COMMAND-REDSTONE ARSENAL ESTABLISHED THE BASIC ORDERING AGREEMENT TO PROCURE DRONES AND DRONE DOMINANT COMPONENTS.",2026-04-02,2026-06-22 12:09:27
CONT_AWD_W58RGZ26F0236_9700_W58RGZ26G0062_9700,W58RGZ26F0236,"AEROVIRONMENT, INC",Department of Defense,527955.0,"IN ACCORDANCE WITH THE DIRECTIVES ESTABLISHED IN THE DEPARTMENT OF WAR MEMORANDUM DATED 10 JULY 2025, IN SUPPORT OF EXECUTIVE ORDER 14307-UNLEASHING U.S. MILITARY DRONE DOMINANCE",2026-03-18,2026-06-10 16:57:42
CONT_AWD_W58RGZ26F0238_9700_W58RGZ26G0005_9700,W58RGZ26F0238,"AEROVIRONMENT, INC",Department of Defense,0.0,"TUAS HAS A REQUIREMENT TO PROCURE 82X P550 LONG RANGE RECONNAISSANCE (LRR) SYSTEMS: LRR SYSTEM TO SUPPORT RECONNAISSANCE, SURVEILLANCE, AND TARGET ACQUISITION (RSTA) CAPABILITIES FOR MANEUVER COMMANDERS.",2026-03-20,2026-06-02 10:44:12
CONT_AWD_W58RGZ26F0244_9700_W58RGZ26G0060_9700,W58RGZ26F0244,PERFORMANCE DRONE WORKS LLC,Department of Defense,15259840.0,THE SMALL UNCREWED AIRCRAFT SYSTEMS (SUAS) PRODUCT OFFICE HAS AN URGENT REQUIREMENT TO PROCURE C100X UAS SYSTEMS AND ASSOCIATED COMPONENTS.,2026-03-27,2026-06-16 09:26:05
CONT_AWD_W58RGZ26F0245_9700_W58RGZ26D0001_9700,W58RGZ26F0245,"AEROVIRONMENT, INC",Department of Defense,242664.0,FMS REQUIREMENT FOR COUNTRY TAJIKISTAN.,2026-03-27,2026-07-18 20:15:47
CONT_AWD_W58RGZ26F0247_9700_W58RGZ26G0057_9700,W58RGZ26F0247,"ANDURIL INDUSTRIES, INC.",Department of Defense,16788000.0,"IN ACCORDANCE WITH THE DIRECTIVES ESTABLISHED IN THE DEPARTMENT OF WARE MEMORANDUM DATED 10 JULY 2025, IN SUPPORT OF EXECUTIVE ORDER 14307 - UNLEASHING U.S. MILITARY DRONE DOMINANCE.",2026-04-01,2026-04-02 14:17:57
CONT_AWD_W58RGZ26F0292_9700_W58RGZ26G0068_9700,W58RGZ26F0292,INTEGRATE DG LLC,Department of Defense,0.0,"IN ACCORDANCE WITH THE DIRECTIVES ESTABLISHED IN THE DEPARTMENT OF WAR MEMORANDUM DATED 10 JULY 2025, IN SUPPORT OF EXECUTIVE ORDER 14307-UNLEASHING U.S. MILITARY DRONE DOMINANCE",2026-04-30,2026-06-11 14:55:16
