item_name,identifier,source_url,source_platform,date_added,legiscan_change_hash,state,bill_id
U.S.-Israel Anti-Killer Drone Act of 2026,HB7178,https://www.congress.gov/bill/119th-congress/house-bill/7178/all-info,LegiScan,2026-09-11,5ee47dd18445e1d56c45d1aa4fad1fde,US,2089983
NASA C-UAS Act NASA Counter-Unmanned Aircraft System Authority Act,HB7379,https://www.congress.gov/bill/119th-congress/house-bill/7379/all-info,LegiScan,2026-09-11,869e27e9f00fc5dd9bd65ace74d4619c,US,2108740
Counter Drone State and Local Defender Act,HB7525,https://www.congress.gov/bill/119th-congress/house-bill/7525/all-info,LegiScan,2026-09-11,4f56aae70616f2ef9889ee33904c557a,US,2116565
UASI Act Unifying American Security Interests Act,SB3920,https://www.congress.gov/bill/119th-congress/senate-bill/3920/all-info,LegiScan,2026-09-11,63c6c780277896681911b736c7f4b2fc,US,2124914
NASA UAS Detection Act,SB4264,https://www.congress.gov/bill/119th-congress/senate-bill/4264/all-info,LegiScan,2026-09-11,42ec83025d093a262eac6046af30eb53,US,2138969
Blue Skies for Taiwan Act of 2026,SB4259,https://www.congress.gov/bill/119th-congress/senate-bill/4259/all-info,LegiScan,2026-09-11,1b6dba965111c3263e0007bf297a4889,US,2139021
American Security Robotics Act of 2026,SB4235,https://www.congress.gov/bill/119th-congress/senate-bill/4235/all-info,LegiScan,2026-09-11,890829aa3384715363e9ee66e1897f57,US,2139034
American Security Robotics Act of 2026,HB8189,https://www.congress.gov/bill/119th-congress/house-bill/8189/all-info,LegiScan,2026-09-11,46a45bcf49a3b56d91f166aa1f35bfba,US,2141073
Deescalation Drone Pilot Program Act of 2026,SB4309,https://www.congress.gov/bill/119th-congress/senate-bill/4309/all-info,LegiScan,2026-09-11,9dc17d71b7cbcf2018ecc62fed8797cd,US,2143508
STAR Act Stopping Theft and Aerospace Reconnaissance Act,HB8458,https://www.congress.gov/bill/119th-congress/house-bill/8458/all-info,LegiScan,2026-09-11,c50fbb6cf77fe643ab816c442036c5c6,US,2145228
Critical Infrastructure Airspace Defense Act,SB4380,https://www.congress.gov/bill/119th-congress/senate-bill/4380/all-info,LegiScan,2026-09-11,681de05329fe31866f9b9704b1efb9d8,US,2145334
Public Safety UAS Readiness Act,HB8492,https://www.congress.gov/bill/119th-congress/house-bill/8492/all-info,LegiScan,2026-09-11,57a9580cffddc009803f69c488bcfc8a,US,2145598
Guard the Skies Act,HB8697,https://www.congress.gov/bill/119th-congress/house-bill/8697/all-info,LegiScan,2026-09-11,dfb8ccc6b31f295c6ab087835b726680,US,2148776
Department of Energy Drone Defense Act,HB8935,https://www.congress.gov/bill/119th-congress/house-bill/8935/all-info,LegiScan,2026-09-11,bd3504048c361e9e9d06c2677c4ea7da,US,2151072
Unmanned and Autonomous Systems Strategy Act of 2026,SB4633,https://www.congress.gov/bill/119th-congress/senate-bill/4633/all-info,LegiScan,2026-09-11,ff4201908e898e6d004fee516e3ba2a7,US,2151522
Blue Skies for Taiwan Act of 2026,HB9042,https://www.congress.gov/bill/119th-congress/house-bill/9042/all-info,LegiScan,2026-09-11,b312c3be3d21f02be3baedf9ce01d1dd,US,2151755
"SUSTAIN Act Sustainment of Unmanned Systems, Total Force Aircraft Inventory, and National Guard Protection Act",SB4677,https://www.congress.gov/bill/119th-congress/senate-bill/4677/all-info,LegiScan,2026-09-11,4232a26c9ad12735708fd6b89c5a1992,US,2152958
Critical Infrastructure Airspace Defense Act,HB9232,https://www.congress.gov/bill/119th-congress/house-bill/9232/all-info,LegiScan,2026-09-11,02621404c9e799c328545a597801716c,US,2153447
Seaport Security Act of 2026,HB9229,https://www.congress.gov/bill/119th-congress/house-bill/9229/all-info,LegiScan,2026-09-11,e60cfc0270b50b08c0596fe2676a3506,US,2153451
Strategic Unmanned Systems Partnership Act,SB4711,https://www.congress.gov/bill/119th-congress/senate-bill/4711/all-info,LegiScan,2026-09-11,e394ae38edf6dae5fd13315e08e541fa,US,2153477
A bill to provide for a requirement for networked autonomous kinetic capability against small unmanned aircraft systems.,SB4768,https://www.congress.gov/bill/119th-congress/senate-bill/4768/all-info,LegiScan,2026-09-11,802ca16c81b941dc2495505c1110b156,US,2153714
National Defense Authorization Act for Fiscal Year 2027 Border Drone Threat Assessment Act Military Construction Authorization Act for Fiscal Year 2027,SB4784,https://www.congress.gov/bill/119th-congress/senate-bill/4784/all-info,LegiScan,2026-09-11,74d6ba5bacc06e4e4c34fbd8def577f4,US,2153939
American Drone Manufacturing Dominance Act of 2026,HB9430,https://www.congress.gov/bill/119th-congress/house-bill/9430/all-info,LegiScan,2026-09-11,7a2f86a8bb47e41b447f700517deb0a5,US,2154831
Unmanned System Command and Control Integration Assessment Act of 2026,SB4930,https://www.congress.gov/bill/119th-congress/senate-bill/4930/all-info,LegiScan,2026-09-11,b5a2e3ae62277e8fc664d658a32f8b21,US,2154849
Strategic Unmanned Systems Partnership Act,HB9550,https://www.congress.gov/bill/119th-congress/house-bill/9550/all-info,LegiScan,2026-09-11,6686003f4a808cc149df8a3578b5ee58,US,2155311
"Small Unmanned Aircraft Systems Operational Test, Evaluation, and Training Corridor Act",HB9909,https://www.congress.gov/bill/119th-congress/house-bill/9909/all-info,LegiScan,2026-09-11,bbba5ed9de9573992e1a6434670eb1f3,US,2156379
A bill to require a report on the advisability and feasibility of establishing a Drone Center of Excellence within the Army National Guard.,SB5342,https://www.congress.gov/bill/119th-congress/senate-bill/5342/all-info,LegiScan,2026-09-11,a87cb1cb09d0b89eaef79007c161c16b,US,2156967
A bill to require a drone posture review.,SB5340,https://www.congress.gov/bill/119th-congress/senate-bill/5340/all-info,LegiScan,2026-09-11,1621e8f70e5c434796d4d71a828dc47c,US,2157072
